投資風格,狗的名稱,核心/衛星/ETF,基金名稱,投資標的說明文字,統編,ISINCODE,幣別,風險等級
"柴犬型投資人個性獨立、自我，不輕易追逐市場風向，常以專注於長期邏輯的視角看待波動。這種傲嬌而固執的氣質，使他們偏好能經得起時間考驗的基金，而非短線熱門題材。","口袋柴","核心基金","PGIM保德信貨幣市場基金","追求基金資產之穩定收益，主要投資於中華民國境內之貨幣市場標的。","97978047","TW000T0805Y9","TWD","4"
"柴犬型投資人個性獨立、自我，不輕易追逐市場風向，常以專注於長期邏輯的視角看待波動。這種傲嬌而固執的氣質，使他們偏好能經得起時間考驗的基金，而非短線熱門題材。","口袋柴","核心基金","PGIM美國公司債基金T美元累積","主要投資於美元計價之投資等級公司債，以獲取穩健之利息收益及資本利得。","C0109004","IE00BDZVHR40","USD","4"
"柴犬型投資人個性獨立、自我，不輕易追逐市場風向，常以專注於長期邏輯的視角看待波動。這種傲嬌而固執的氣質，使他們偏好能經得起時間考驗的基金，而非短線熱門題材。","口袋柴","核心基金","元大得利貨幣市場基金","投資於高流動性、低風險之貨幣市場工具，以維持本金之安全及較高之流動性，並追求穩定之收益。","92017204","TW000T0569Y1","TWD","4"
"柴犬型投資人個性獨立、自我，不輕易追逐市場風向，常以專注於長期邏輯的視角看待波動。這種傲嬌而固執的氣質，使他們偏好能經得起時間考驗的基金，而非短線熱門題材。","口袋柴","衛星基金","PGIM保德信美國投資級企業債","透過投資於美國投資等級企業債券，追求長期資本增值及穩定之收益。","98639616","TW000T0842A2","TWD","4"
"柴犬型投資人個性獨立、自我，不輕易追逐市場風向，常以專注於長期邏輯的視角看待波動。這種傲嬌而固執的氣質，使他們偏好能經得起時間考驗的基金，而非短線熱門題材。","口袋柴","衛星基金","華南永昌全球投資等級債券","佈局全球投資等級債券，以獲取穩健收益及長期資本增值為目標。","98641524","TW000T1286A1","TWD","4"
"柴犬型投資人個性獨立、自我，不輕易追逐市場風向，常以專注於長期邏輯的視角看待波動。這種傲嬌而固執的氣質，使他們偏好能經得起時間考驗的基金，而非短線熱門題材。","口袋柴","衛星基金","法盛盧米斯賽勒斯投資級債","透過投資於全球投資等級債券，追求高於平均水準之收益及資本增值。","C0054057","LU0411266801","TWD","4"
"柴犬型投資人個性獨立、自我，不輕易追逐市場風向，常以專注於長期邏輯的視角看待波動。這種傲嬌而固執的氣質，使他們偏好能經得起時間考驗的基金，而非短線熱門題材。","口袋柴","ETF","元大台灣高息低波","追蹤「臺灣指數公司特選高股息低波動指數」，兼具高股息與低波動特性。","00713","TW0000071303","TWD","4"
"貴賓犬型投資人重視差異化與質感，不想與市場雷同。具有特色主題、選股邏輯清楚的基金，能滿足他們對獨特性的期待。","口袋貴賓","核心基金","PGIM保德信中小型股基金","投資於台灣中小型上市公司，掌握其爆發性成長潛力。","83866508","TW000T0810Y9","TWD","4"
"貴賓犬型投資人重視差異化與質感，不想與市場雷同。具有特色主題、選股邏輯清楚的基金，能滿足他們對獨特性的期待。","口袋貴賓","核心基金","PGIM保德信店頭市場基金","投資於台灣上櫃股票，追求長期資本增值。","97988636","TW000T0806Y7","TWD","4"
"貴賓犬型投資人重視差異化與質感，不想與市場雷同。具有特色主題、選股邏輯清楚的基金，能滿足他們對獨特性的期待。","口袋貴賓","核心基金","統一中小基金","投資於台灣中小型股票，發掘具備高成長潛力之企業。","97977878","TW000T0906Y5","TWD","4"
"貴賓犬型投資人重視差異化與質感，不想與市場雷同。具有特色主題、選股邏輯清楚的基金，能滿足他們對獨特性的期待。","口袋貴賓","衛星基金","PGIM保德信全球中小基金","投資於全球中小型企業，追求長期資本增值。","98636611","TW000T0817Y4","TWD","4"
"貴賓犬型投資人重視差異化與質感，不想與市場雷同。具有特色主題、選股邏輯清楚的基金，能滿足他們對獨特性的期待。","口袋貴賓","衛星基金","統一大滿貫基金-A類型","投資於台灣上市上櫃股票，追求長期資本增值。","17605622","TW000T0911Y5","TWD","4"
"貴賓犬型投資人重視差異化與質感，不想與市場雷同。具有特色主題、選股邏輯清楚的基金，能滿足他們對獨特性的期待。","口袋貴賓","衛星基金","法盛-盧米斯賽勒斯債券基金","透過彈性配置全球各類債券，追求高於平均水準之總報酬。","C0054121","IE000D6HVBY0","TWD","4"
"貴賓犬型投資人重視差異化與質感，不想與市場雷同。具有特色主題、選股邏輯清楚的基金，能滿足他們對獨特性的期待。","口袋貴賓","ETF","元大富櫃50","追蹤櫃買富櫃50指數，涵蓋台灣上櫃市場具代表性之50檔股票。","006201","TW0000062013","TWD","4"
"拉拉型投資人高度重視「有沒有產出」，對現金流與紀律特別敏感。能定期看到成果的配息型基金或穩定投入機制，最能讓他們安心守住投資節奏。","口袋拉拉","核心基金","PGIM保德信高成長基金","投資於具高成長潛力之台灣上市上櫃公司股票，追求長期資本增值。","01032183","TW000T0802Y6","TWD","4"
"拉拉型投資人高度重視「有沒有產出」，對現金流與紀律特別敏感。能定期看到成果的配息型基金或穩定投入機制，最能讓他們安心守住投資節奏。","口袋拉拉","核心基金","PGIM JENNISON全球股票機會","投資於全球具備強勁成長潛力之優質企業，追求長期資本增值。","C0109006","IE00BGJVXP15","TWD","4"
"拉拉型投資人高度重視「有沒有產出」，對現金流與紀律特別敏感。能定期看到成果的配息型基金或穩定投入機制，最能讓他們安心守住投資節奏。","口袋拉拉","核心基金","元大台灣卓越50ETF連結基金","連結元大台灣50ETF，提供投資人參與台灣市值前50大企業之表現。","98639403","TW000T05B2A6","TWD","4"
"拉拉型投資人高度重視「有沒有產出」，對現金流與紀律特別敏感。能定期看到成果的配息型基金或穩定投入機制，最能讓他們安心守住投資節奏。","口袋拉拉","衛星基金","中國信託美國聚焦成長基金","聚焦投資於美國具備高成長潛力之企業，追求長期資本增值。","98642116","TW000T2628A3","TWD","4"
"拉拉型投資人高度重視「有沒有產出」，對現金流與紀律特別敏感。能定期看到成果的配息型基金或穩定投入機制，最能讓他們安心守住投資節奏。","口袋拉拉","衛星基金","統一全天候基金-A類型","透過靈活調整持股比例，因應市場多空變化，追求長期穩健之資本增值。","01031699","TW000T0902Y4","TWD","4"
"拉拉型投資人高度重視「有沒有產出」，對現金流與紀律特別敏感。能定期看到成果的配息型基金或穩定投入機制，最能讓他們安心守住投資節奏。","口袋拉拉","衛星基金","中國信託成長轉機多重資產","投資於具備成長潛力與轉機題材之多重資產，追求資本增值。","98641594","TW000T2625A9","TWD","4"
"拉拉型投資人高度重視「有沒有產出」，對現金流與紀律特別敏感。能定期看到成果的配息型基金或穩定投入機制，最能讓他們安心守住投資節奏。","口袋拉拉","ETF","保德信市值動能50","追蹤臺灣指數公司特選臺灣上市上櫃市值動能50指數。","009803","TW0000098033","TWD","4"
"台灣土狗型投資人擁有極強的環境適應力，不追求華麗報酬，而是能在各種市場條件下活得下來。分散、耐震、長期有效的基金配置，最符合他們的生存智慧。","口袋土狗","核心基金","PGIM保德信科技島基金","聚焦台灣科技產業，投資於具全球競爭力之科技類股，追求長期資本增值。","73990649","TW000T0808Y3","TWD","4"
"台灣土狗型投資人擁有極強的環境適應力，不追求華麗報酬，而是能在各種市場條件下活得下來。分散、耐震、長期有效的基金配置，最符合他們的生存智慧。","口袋土狗","核心基金","PGIM Jennison美國成長基金","投資於美國具備長期成長潛力之大型企業，追求資本增值。","C0109015","IE00BYWYQY37","TWD","4"
"台灣土狗型投資人擁有極強的環境適應力，不追求華麗報酬，而是能在各種市場條件下活得下來。分散、耐震、長期有效的基金配置，最符合他們的生存智慧。","口袋土狗","核心基金","元大高科技基金","投資於國內高科技產業股票，追求長期資本增值。","81584335","TW000T0508Y9","TWD","4"
"台灣土狗型投資人擁有極強的環境適應力，不追求華麗報酬，而是能在各種市場條件下活得下來。分散、耐震、長期有效的基金配置，最符合他們的生存智慧。","口袋土狗","衛星基金","台新美日台半導體基金","聚焦美國、日本及台灣之半導體產業，追求長期資本增值。","98642010","TW000T4775A0","TWD","4"
"台灣土狗型投資人擁有極強的環境適應力，不追求華麗報酬，而是能在各種市場條件下活得下來。分散、耐震、長期有效的基金配置，最符合他們的生存智慧。","口袋土狗","衛星基金","法盛AI及機器人基金","投資於全球AI及機器人相關產業，掌握科技創新趨勢。","C0115024","LU1923623000","TWD","4"
"台灣土狗型投資人擁有極強的環境適應力，不追求華麗報酬，而是能在各種市場條件下活得下來。分散、耐震、長期有效的基金配置，最符合他們的生存智慧。","口袋土狗","衛星基金","統一全球新科技基金","投資於全球具備創新科技與破壞式創新之企業，追求長期資本增值。","98638079","TW000T0933A9","TWD","4"
"台灣土狗型投資人擁有極強的環境適應力，不追求華麗報酬，而是能在各種市場條件下活得下來。分散、耐震、長期有效的基金配置，最符合他們的生存智慧。","口袋土狗","ETF","元大台灣50","追蹤臺灣50指數，涵蓋台灣市值前50大之上市公司。","0050","TW0000050000","TWD","4"
"牧羊犬型投資人理性且高度系統化，相信規則勝過情緒。具備明確策略、可自動執行的基金投資方式，正好符合他們追求最佳化的思維。","口袋邊牧","核心基金","法盛漢瑞斯全球股票基金","透過價值投資策略，投資於全球被低估之優質企業。","C0054008","LU0130103400","TWD","4"
"牧羊犬型投資人理性且高度系統化，相信規則勝過情緒。具備明確策略、可自動執行的基金投資方式，正好符合他們追求最佳化的思維。","口袋邊牧","核心基金","PGIM保德信亞太基金","投資於亞太地區(不含日本)之股票，追求長期資本增值。","92029139","TW000T0804Y2","TWD","4"
"牧羊犬型投資人理性且高度系統化，相信規則勝過情緒。具備明確策略、可自動執行的基金投資方式，正好符合他們追求最佳化的思維。","口袋邊牧","核心基金","元大全球優質龍頭平衡基金","投資於全球各產業龍頭企業之股票及債券，追求穩健之長期報酬。","98641172","TW000T05B6A7","TWD","4"
"牧羊犬型投資人理性且高度系統化，相信規則勝過情緒。具備明確策略、可自動執行的基金投資方式，正好符合他們追求最佳化的思維。","口袋邊牧","衛星基金","中國信託越南機會基金","投資於越南股票市場，掌握越南經濟快速成長之契機。","98640076","TW000T2691A1","TWD","4"
"牧羊犬型投資人理性且高度系統化，相信規則勝過情緒。具備明確策略、可自動執行的基金投資方式，正好符合他們追求最佳化的思維。","口袋邊牧","衛星基金","PGIM保德信拉丁美洲基金","投資於拉丁美洲地區之股票，追求長期資本增值。","986371051","TW000T0830Y7","TWD","4"
"牧羊犬型投資人理性且高度系統化，相信規則勝過情緒。具備明確策略、可自動執行的基金投資方式，正好符合他們追求最佳化的思維。","口袋邊牧","衛星基金","元大日本龍頭企業基金","投資於日本各產業之龍頭企業，追求長期資本增值。","98641587","TW000T05C1A7","TWD","4"
"牧羊犬型投資人理性且高度系統化，相信規則勝過情緒。具備明確策略、可自動執行的基金投資方式，正好符合他們追求最佳化的思維。","口袋邊牧","ETF","保德信全球跨國藍籌100","追蹤全球跨國藍籌企業表現。","009810","TW0000098108","TWD","4"
"阿金型投資人性格溫暖、陽光，理財目的不是擊敗市場，而是讓生活更安心。他們親近長期投資、穩健累積的策略，就像釀酒一樣，時間越久，收穫越醇。","口袋阿金","核心基金","PGIM保德信多元收益組合基金","透過動態資產配置，投資於全球多元資產，追求長期穩健之收益與資本利得。","98638122","TW000T0837B0","TWD","4"
"阿金型投資人性格溫暖、陽光，理財目的不是擊敗市場，而是讓生活更安心。他們親近長期投資、穩健累積的策略，就像釀酒一樣，時間越久，收穫越醇。","口袋阿金","核心基金","中國信託策略優利多重資產","投資於多重資產，結合高股息股票與債券，追求穩定之收益與資本增值。","98642423","TW000T2629B9","TWD","4"
"阿金型投資人性格溫暖、陽光，理財目的不是擊敗市場，而是讓生活更安心。他們親近長期投資、穩健累積的策略，就像釀酒一樣，時間越久，收穫越醇。","口袋阿金","核心基金","PGIM保德信全球生態友善ESG","投資於全球具備生態友善與ESG概念之企業，追求長期資本增值。","98641177","TW000T0848B7","TWD","4"
"阿金型投資人性格溫暖、陽光，理財目的不是擊敗市場，而是讓生活更安心。他們親近長期投資、穩健累積的策略，就像釀酒一樣，時間越久，收穫越醇。","口袋阿金","衛星基金","元大亞太優質高股息100指數","追蹤亞太地區優質高股息企業，追求長期穩定的股息收益。","98638532","TW000T05A7B4","TWD","4"
"阿金型投資人性格溫暖、陽光，理財目的不是擊敗市場，而是讓生活更安心。他們親近長期投資、穩健累積的策略，就像釀酒一樣，時間越久，收穫越醇。","口袋阿金","衛星基金","台新北美收益資產證券化基金","投資於北美地區之不動產證券化商品(REITs)，追求穩定收益及資本增值。","98637275","TW000T4717B0","TWD","4"
"阿金型投資人性格溫暖、陽光，理財目的不是擊敗市場，而是讓生活更安心。他們親近長期投資、穩健累積的策略，就像釀酒一樣，時間越久，收穫越醇。","口袋阿金","衛星基金","中國信託亞太實質收息多重","投資於亞太地區實質資產及高息資產，追求長期穩健收益。","98639936","TW000T2683B6","TWD","4"
"阿金型投資人性格溫暖、陽光，理財目的不是擊敗市場，而是讓生活更安心。他們親近長期投資、穩健累積的策略，就像釀酒一樣，時間越久，收穫越醇。","口袋阿金","ETF","元大S&P500","追蹤美國標普500指數，提供投資人參與美國大型企業成長之機會。","00646","TW0000064605","TWD","4"
"藏獒型投資人重視責任與守護，對風險高度警覺。核心配置、穩定性高的基金，是他們為資產築起防線的首選，寧可慢，也不能失守。","口袋獒","核心基金","PGIM美元非投資等級債券","投資於美元計價之非投資等級債券，追求較高之利息收益。","98640605","TW000T0845C1","USD","4"
"藏獒型投資人重視責任與守護，對風險高度警覺。核心配置、穩定性高的基金，是他們為資產築起防線的首選，寧可慢，也不能失守。","口袋獒","核心基金","PGIM美國全方位非投等債","廣泛投資於美國非投資等級債券市場，追求高收益與資本增值。","C0109011","IE00BN47NK81","TWD","4"
"藏獒型投資人重視責任與守護，對風險高度警覺。核心配置、穩定性高的基金，是他們為資產築起防線的首選，寧可慢，也不能失守。","口袋獒","核心基金","台新優先順位資產抵押非投等","投資於具備優先擔保地位之非投資等級債券，兼顧收益與風險控管。","98639310","TW000T4761B8","TWD","4"
"藏獒型投資人重視責任與守護，對風險高度警覺。核心配置、穩定性高的基金，是他們為資產築起防線的首選，寧可慢，也不能失守。","口袋獒","衛星基金","PGIM保德信印度機會債券基金","投資於印度債券市場，掌握印度經濟成長帶來之收益機會。","98639036","TW000T0841B2","TWD","4"
"藏獒型投資人重視責任與守護，對風險高度警覺。核心配置、穩定性高的基金，是他們為資產築起防線的首選，寧可慢，也不能失守。","口袋獒","衛星基金","統一亞洲非投資等級債券基金","投資於亞洲地區非投資等級債券，追求較高之收益。","98637868","TW000T0932B9","TWD","4"
"藏獒型投資人重視責任與守護，對風險高度警覺。核心配置、穩定性高的基金，是他們為資產築起防線的首選，寧可慢，也不能失守。","口袋獒","衛星基金","台新美國策略時機非投等債","透過策略性配置美國非投資等級債券，追求長期總報酬。","98641204","TW000T4772B5","TWD","4"
"藏獒型投資人重視責任與守護，對風險高度警覺。核心配置、穩定性高的基金，是他們為資產築起防線的首選，寧可慢，也不能失守。","口袋獒","ETF","元大高股息","追蹤臺灣高股息指數，精選預期殖利率較高之成分股。","0056","TW0000056007","TWD","4"
